DATE,PCECC96
2013-01-01,0.51854
2013-04-01,0.07197
2013-07-01,0.40673
2013-10-01,0.86167
2014-01-01,0.38721
2014-04-01,1.07401
2014-07-01,1.09831
2014-10-01,1.15029
2015-01-01,0.86617
2015-04-01,0.84128
2015-07-01,0.71011
2015-10-01,0.56547
2016-01-01,0.59907
2016-04-01,0.84481
2016-07-01,0.65666
2016-10-01,0.63791
2017-01-01,0.44386
2017-04-01,0.70981
2017-07-01,0.55167
2017-10-01,0.96515
2018-01-01,0.12962
2018-04-01,0.93028
