month,day,year,PCECC96
10,1,2005,9621.3
1,1,2006,9729.2
4,1,2006,9781
7,1,2006,9838.1
10,1,2006,9938.4
1,1,2007,9990.7
4,1,2007,10024.6
7,1,2007,10069.2
10,1,2007,10081.8
1,1,2008,10061
4,1,2008,10077.9
7,1,2008,10005.1
10,1,2008,9884.7
1,1,2009,9850.8
4,1,2009,9806.4
7,1,2009,9865.9
10,1,2009,9864.8
1,1,2010,9917.7
4,1,2010,9998.4
7,1,2010,10063.1
10,1,2010,10166.1
1,1,2011,10217.1
4,1,2011,10237.7
7,1,2011,10282.2
10,1,2011,10316.8
1,1,2012,10379
4,1,2012,10396.6
7,1,2012,10424.1
10,1,2012,10453.2
1,1,2013,10502.3
4,1,2013,10523.9
7,1,2013,10573.1
10,1,2013,10662.2
1,1,2014,10712.8
4,1,2014,10813.3
7,1,2014,10912.9
10,1,2014,11036.4
1,1,2015,11102.4
4,1,2015,11181.3
7,1,2015,11255.9
10,1,2015,11319.3
1,1,2016,11365.2
4,1,2016,11484.9
7,1,2016,11569
10,1,2016,11669.8
1,1,2017,11679.5
