DATE,GDPC1
01/07/2013,16531.685
01/10/2013,16663.649
01/01/2014,16621.696
01/04/2014,16830.111
01/07/2014,17033.572
01/10/2014,17113.945
01/01/2015,17254.744
01/04/2015,17397.029
01/07/2015,17438.802
01/10/2015,17456.225
01/01/2016,17523.374
01/04/2016,17622.486
01/07/2016,17706.705
01/10/2016,17784.185
01/01/2017,17863.023
01/04/2017,17995.15
01/07/2017,18120.843
01/10/2017,18223.758
01/01/2018,18323.963
01/04/2018,18514.595
