Date,S&P,Vol
09/28/2016,2.17,3.89
09/27/2016,2.16,3.43
09/26/2016,2.15,3.21
09/23/2016,2.16,3.31
09/22/2016,2.18,3.55
09/21/2016,2.16,3.71
09/20/2016,2.14,3.14
09/19/2016,2.14,3.16
